"VM","Metric","Value","Unit","Timestamp","Date","Time"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.21","%","28.11.25 23:30:00","2025-11-28","23:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.41","%","28.11.25 23:00:00","2025-11-28","23:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","15.64","%","28.11.25 22:30:00","2025-11-28","22:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","18.32","%","28.11.25 22:00:00","2025-11-28","22:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","18.34","%","28.11.25 21:30:00","2025-11-28","21:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","15.67","%","28.11.25 21:00:00","2025-11-28","21:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.48","%","28.11.25 20:30:00","2025-11-28","20:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.41","%","28.11.25 20:00:00","2025-11-28","20:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.69","%","28.11.25 19:30:00","2025-11-28","19:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","14.15","%","28.11.25 19:00:00","2025-11-28","19:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.98","%","28.11.25 18:30:00","2025-11-28","18:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.52","%","28.11.25 18:00:00","2025-11-28","18:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.66","%","28.11.25 17:30:00","2025-11-28","17:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","14.08","%","28.11.25 17:00:00","2025-11-28","17:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.62","%","28.11.25 16:30:00","2025-11-28","16:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.65","%","28.11.25 16:00:00","2025-11-28","16:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.82","%","28.11.25 15:30:00","2025-11-28","15:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","16.92","%","28.11.25 15:00:00","2025-11-28","15:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.83","%","28.11.25 14:30:00","2025-11-28","14:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","14.83","%","28.11.25 14:00:00","2025-11-28","14:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","14.63","%","28.11.25 13:30:00","2025-11-28","13:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","14.02","%","28.11.25 13:00:00","2025-11-28","13:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","14.02","%","28.11.25 12:30:00","2025-11-28","12:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","14.02","%","28.11.25 12:00:00","2025-11-28","12:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.51","%","28.11.25 11:30:00","2025-11-28","11:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.72","%","28.11.25 11:00:00","2025-11-28","11:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.84","%","28.11.25 10:30:00","2025-11-28","10:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.84","%","28.11.25 10:00:00","2025-11-28","10:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.91","%","28.11.25 09:30:00","2025-11-28","09:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","14.11","%","28.11.25 09:00:00","2025-11-28","09:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.73","%","28.11.25 08:30:00","2025-11-28","08:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.99","%","28.11.25 08:00:00","2025-11-28","08:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.41","%","28.11.25 07:30:00","2025-11-28","07:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.42","%","28.11.25 07:00:00","2025-11-28","07:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.58","%","28.11.25 06:30:00","2025-11-28","06:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","14.33","%","28.11.25 06:00:00","2025-11-28","06:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.44","%","28.11.25 05:30:00","2025-11-28","05:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.67","%","28.11.25 05:00:00","2025-11-28","05:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.62","%","28.11.25 04:30:00","2025-11-28","04:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.73","%","28.11.25 04:00:00","2025-11-28","04:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.16","%","28.11.25 03:30:00","2025-11-28","03:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.42","%","28.11.25 03:00:00","2025-11-28","03:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.36","%","28.11.25 02:30:00","2025-11-28","02:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.57","%","28.11.25 02:00:00","2025-11-28","02:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.49","%","28.11.25 01:30:00","2025-11-28","01:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.79","%","28.11.25 01:00:00","2025-11-28","01:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.31","%","28.11.25 00:30:00","2025-11-28","00:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.23","%","28.11.25 00:00:00","2025-11-28","00:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6327","MHz","28.11.25 23:30:00","2025-11-28","23:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6424","MHz","28.11.25 23:00:00","2025-11-28","23:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","7493","MHz","28.11.25 22:30:00","2025-11-28","22:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","8774","MHz","28.11.25 22:00:00","2025-11-28","22:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","8788","MHz","28.11.25 21:30:00","2025-11-28","21:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","7506","MHz","28.11.25 21:00:00","2025-11-28","21:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6458","MHz","28.11.25 20:30:00","2025-11-28","20:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6424","MHz","28.11.25 20:00:00","2025-11-28","20:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6560","MHz","28.11.25 19:30:00","2025-11-28","19:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6780","MHz","28.11.25 19:00:00","2025-11-28","19:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6700","MHz","28.11.25 18:30:00","2025-11-28","18:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6479","MHz","28.11.25 18:00:00","2025-11-28","18:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6543","MHz","28.11.25 17:30:00","2025-11-28","17:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6747","MHz","28.11.25 17:00:00","2025-11-28","17:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6526","MHz","28.11.25 16:30:00","2025-11-28","16:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6542","MHz","28.11.25 16:00:00","2025-11-28","16:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6623","MHz","28.11.25 15:30:00","2025-11-28","15:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","8105","MHz","28.11.25 15:00:00","2025-11-28","15:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6626","MHz","28.11.25 14:30:00","2025-11-28","14:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","7104","MHz","28.11.25 14:00:00","2025-11-28","14:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","7012","MHz","28.11.25 13:30:00","2025-11-28","13:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6716","MHz","28.11.25 13:00:00","2025-11-28","13:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6717","MHz","28.11.25 12:30:00","2025-11-28","12:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6718","MHz","28.11.25 12:00:00","2025-11-28","12:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6473","MHz","28.11.25 11:30:00","2025-11-28","11:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6573","MHz","28.11.25 11:00:00","2025-11-28","11:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6629","MHz","28.11.25 10:30:00","2025-11-28","10:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6629","MHz","28.11.25 10:00:00","2025-11-28","10:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6665","MHz","28.11.25 09:30:00","2025-11-28","09:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6760","MHz","28.11.25 09:00:00","2025-11-28","09:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6578","MHz","28.11.25 08:30:00","2025-11-28","08:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6701","MHz","28.11.25 08:00:00","2025-11-28","08:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6423","MHz","28.11.25 07:30:00","2025-11-28","07:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6430","MHz","28.11.25 07:00:00","2025-11-28","07:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6504","MHz","28.11.25 06:30:00","2025-11-28","06:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6867","MHz","28.11.25 06:00:00","2025-11-28","06:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6437","MHz","28.11.25 05:30:00","2025-11-28","05:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6549","MHz","28.11.25 05:00:00","2025-11-28","05:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6526","MHz","28.11.25 04:30:00","2025-11-28","04:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6580","MHz","28.11.25 04:00:00","2025-11-28","04:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6306","MHz","28.11.25 03:30:00","2025-11-28","03:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6431","MHz","28.11.25 03:00:00","2025-11-28","03:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6401","MHz","28.11.25 02:30:00","2025-11-28","02:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6503","MHz","28.11.25 02:00:00","2025-11-28","02:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6464","MHz","28.11.25 01:30:00","2025-11-28","01:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6608","MHz","28.11.25 01:00:00","2025-11-28","01:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6379","MHz","28.11.25 00:30:00","2025-11-28","00:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usagemhz.average","6340","MHz","28.11.25 00:00:00","2025-11-28","00:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","149902","millisecond","28.11.25 23:30:00","2025-11-28","23:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","168009","millisecond","28.11.25 23:00:00","2025-11-28","23:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","164939","millisecond","28.11.25 22:30:00","2025-11-28","22:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","184297","millisecond","28.11.25 22:00:00","2025-11-28","22:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","180148","millisecond","28.11.25 21:30:00","2025-11-28","21:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","193304","millisecond","28.11.25 21:00:00","2025-11-28","21:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","182258","millisecond","28.11.25 20:30:00","2025-11-28","20:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","180821","millisecond","28.11.25 20:00:00","2025-11-28","20:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","174069","millisecond","28.11.25 19:30:00","2025-11-28","19:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","192193","millisecond","28.11.25 19:00:00","2025-11-28","19:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","178128","millisecond","28.11.25 18:30:00","2025-11-28","18:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","191768","millisecond","28.11.25 18:00:00","2025-11-28","18:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","189500","millisecond","28.11.25 17:30:00","2025-11-28","17:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","214668","millisecond","28.11.25 17:00:00","2025-11-28","17:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","189912","millisecond","28.11.25 16:30:00","2025-11-28","16:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","199305","millisecond","28.11.25 16:00:00","2025-11-28","16:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","191910","millisecond","28.11.25 15:30:00","2025-11-28","15:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","219824","millisecond","28.11.25 15:00:00","2025-11-28","15:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","189189","millisecond","28.11.25 14:30:00","2025-11-28","14:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","225389","millisecond","28.11.25 14:00:00","2025-11-28","14:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","212977","millisecond","28.11.25 13:30:00","2025-11-28","13:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","223573","millisecond","28.11.25 13:00:00","2025-11-28","13:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","202614","millisecond","28.11.25 12:30:00","2025-11-28","12:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","218214","millisecond","28.11.25 12:00:00","2025-11-28","12:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","209463","millisecond","28.11.25 11:30:00","2025-11-28","11:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","229640","millisecond","28.11.25 11:00:00","2025-11-28","11:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","195368","millisecond","28.11.25 10:30:00","2025-11-28","10:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","222194","millisecond","28.11.25 10:00:00","2025-11-28","10:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","200327","millisecond","28.11.25 09:30:00","2025-11-28","09:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","205447","millisecond","28.11.25 09:00:00","2025-11-28","09:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","181227","millisecond","28.11.25 08:30:00","2025-11-28","08:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","207124","millisecond","28.11.25 08:00:00","2025-11-28","08:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","153706","millisecond","28.11.25 07:30:00","2025-11-28","07:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","159753","millisecond","28.11.25 07:00:00","2025-11-28","07:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","164857","millisecond","28.11.25 06:30:00","2025-11-28","06:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","179798","millisecond","28.11.25 06:00:00","2025-11-28","06:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","157995","millisecond","28.11.25 05:30:00","2025-11-28","05:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","175390","millisecond","28.11.25 05:00:00","2025-11-28","05:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","169661","millisecond","28.11.25 04:30:00","2025-11-28","04:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","177510","millisecond","28.11.25 04:00:00","2025-11-28","04:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","148633","millisecond","28.11.25 03:30:00","2025-11-28","03:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","164662","millisecond","28.11.25 03:00:00","2025-11-28","03:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","150382","millisecond","28.11.25 02:30:00","2025-11-28","02:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","163191","millisecond","28.11.25 02:00:00","2025-11-28","02:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","152501","millisecond","28.11.25 01:30:00","2025-11-28","01:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","168226","millisecond","28.11.25 01:00:00","2025-11-28","01:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","177810","millisecond","28.11.25 00:30:00","2025-11-28","00:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.ready.summation","190876","millisecond","28.11.25 00:00:00","2025-11-28","00:00"
