"VM","Metric","Value","Unit","Timestamp","Date","Time"
"VSA-Apollo1","cpu.usage.average","11.49","%","26.11.25 23:30:00","2025-11-26","23:30"
"VSA-Apollo1","cpu.usage.average","21.59","%","26.11.25 23:00:00","2025-11-26","23:00"
"VSA-Apollo1","cpu.usage.average","7.2","%","26.11.25 22:30:00","2025-11-26","22:30"
"VSA-Apollo1","cpu.usage.average","5.99","%","26.11.25 22:00:00","2025-11-26","22:00"
"VSA-Apollo1","cpu.usage.average","1.46","%","26.11.25 21:30:00","2025-11-26","21:30"
"VSA-Apollo1","cpu.usage.average","2.15","%","26.11.25 21:00:00","2025-11-26","21:00"
"VSA-Apollo1","cpu.usage.average","8.05","%","26.11.25 20:30:00","2025-11-26","20:30"
"VSA-Apollo1","cpu.usage.average","19.32","%","26.11.25 20:00:00","2025-11-26","20:00"
"VSA-Apollo1","cpu.usage.average","20.27","%","26.11.25 19:30:00","2025-11-26","19:30"
"VSA-Apollo1","cpu.usage.average","20.06","%","26.11.25 19:00:00","2025-11-26","19:00"
"VSA-Apollo1","cpu.usage.average","24.69","%","26.11.25 18:30:00","2025-11-26","18:30"
"VSA-Apollo1","cpu.usage.average","38.47","%","26.11.25 18:00:00","2025-11-26","18:00"
"VSA-Apollo1","cpu.usage.average","36.15","%","26.11.25 17:30:00","2025-11-26","17:30"
"VSA-Apollo1","cpu.usage.average","41.09","%","26.11.25 17:00:00","2025-11-26","17:00"
"VSA-Apollo1","cpu.usage.average","39.36","%","26.11.25 16:30:00","2025-11-26","16:30"
"VSA-Apollo1","cpu.usage.average","37.29","%","26.11.25 16:00:00","2025-11-26","16:00"
"VSA-Apollo1","cpu.usage.average","21.17","%","26.11.25 15:30:00","2025-11-26","15:30"
"VSA-Apollo1","cpu.usage.average","28.98","%","26.11.25 15:00:00","2025-11-26","15:00"
"VSA-Apollo1","cpu.usage.average","36.51","%","26.11.25 14:30:00","2025-11-26","14:30"
"VSA-Apollo1","cpu.usage.average","32.42","%","26.11.25 14:00:00","2025-11-26","14:00"
"VSA-Apollo1","cpu.usage.average","33","%","26.11.25 13:30:00","2025-11-26","13:30"
"VSA-Apollo1","cpu.usage.average","29.97","%","26.11.25 13:00:00","2025-11-26","13:00"
"VSA-Apollo1","cpu.usage.average","35.36","%","26.11.25 12:30:00","2025-11-26","12:30"
"VSA-Apollo1","cpu.usage.average","39.86","%","26.11.25 12:00:00","2025-11-26","12:00"
"VSA-Apollo1","cpu.usage.average","36.41","%","26.11.25 11:30:00","2025-11-26","11:30"
"VSA-Apollo1","cpu.usage.average","48.47","%","26.11.25 11:00:00","2025-11-26","11:00"
"VSA-Apollo1","cpu.usage.average","54.71","%","26.11.25 10:30:00","2025-11-26","10:30"
"VSA-Apollo1","cpu.usage.average","40.02","%","26.11.25 10:00:00","2025-11-26","10:00"
"VSA-Apollo1","cpu.usage.average","53.33","%","26.11.25 09:30:00","2025-11-26","09:30"
"VSA-Apollo1","cpu.usage.average","1.56","%","26.11.25 09:00:00","2025-11-26","09:00"
"VSA-Apollo1","cpu.usage.average","1.46","%","26.11.25 08:30:00","2025-11-26","08:30"
"VSA-Apollo1","cpu.usage.average","1.58","%","26.11.25 08:00:00","2025-11-26","08:00"
"VSA-Apollo1","cpu.usage.average","1.56","%","26.11.25 07:30:00","2025-11-26","07:30"
"VSA-Apollo1","cpu.usage.average","1.55","%","26.11.25 07:00:00","2025-11-26","07:00"
"VSA-Apollo1","cpu.usage.average","1.43","%","26.11.25 06:30:00","2025-11-26","06:30"
"VSA-Apollo1","cpu.usage.average","1.52","%","26.11.25 06:00:00","2025-11-26","06:00"
"VSA-Apollo1","cpu.usage.average","1.5","%","26.11.25 05:30:00","2025-11-26","05:30"
"VSA-Apollo1","cpu.usage.average","1.53","%","26.11.25 05:00:00","2025-11-26","05:00"
"VSA-Apollo1","cpu.usage.average","13.13","%","26.11.25 04:30:00","2025-11-26","04:30"
"VSA-Apollo1","cpu.usage.average","29.55","%","26.11.25 04:00:00","2025-11-26","04:00"
"VSA-Apollo1","cpu.usage.average","23.8","%","26.11.25 03:30:00","2025-11-26","03:30"
"VSA-Apollo1","cpu.usage.average","17.48","%","26.11.25 03:00:00","2025-11-26","03:00"
"VSA-Apollo1","cpu.usage.average","2.11","%","26.11.25 02:30:00","2025-11-26","02:30"
"VSA-Apollo1","cpu.usage.average","2.07","%","26.11.25 02:00:00","2025-11-26","02:00"
"VSA-Apollo1","cpu.usage.average","2.38","%","26.11.25 01:30:00","2025-11-26","01:30"
"VSA-Apollo1","cpu.usage.average","2.22","%","26.11.25 01:00:00","2025-11-26","01:00"
"VSA-Apollo1","cpu.usage.average","1.92","%","26.11.25 00:30:00","2025-11-26","00:30"
"VSA-Apollo1","cpu.usage.average","18.5","%","26.11.25 00:00:00","2025-11-26","00:00"
"VSA-Apollo1","cpu.usagemhz.average","5779","MHz","26.11.25 23:30:00","2025-11-26","23:30"
"VSA-Apollo1","cpu.usagemhz.average","10858","MHz","26.11.25 23:00:00","2025-11-26","23:00"
"VSA-Apollo1","cpu.usagemhz.average","3624","MHz","26.11.25 22:30:00","2025-11-26","22:30"
"VSA-Apollo1","cpu.usagemhz.average","3016","MHz","26.11.25 22:00:00","2025-11-26","22:00"
"VSA-Apollo1","cpu.usagemhz.average","738","MHz","26.11.25 21:30:00","2025-11-26","21:30"
"VSA-Apollo1","cpu.usagemhz.average","1083","MHz","26.11.25 21:00:00","2025-11-26","21:00"
"VSA-Apollo1","cpu.usagemhz.average","4051","MHz","26.11.25 20:30:00","2025-11-26","20:30"
"VSA-Apollo1","cpu.usagemhz.average","9719","MHz","26.11.25 20:00:00","2025-11-26","20:00"
"VSA-Apollo1","cpu.usagemhz.average","10194","MHz","26.11.25 19:30:00","2025-11-26","19:30"
"VSA-Apollo1","cpu.usagemhz.average","10091","MHz","26.11.25 19:00:00","2025-11-26","19:00"
"VSA-Apollo1","cpu.usagemhz.average","12419","MHz","26.11.25 18:30:00","2025-11-26","18:30"
"VSA-Apollo1","cpu.usagemhz.average","19348","MHz","26.11.25 18:00:00","2025-11-26","18:00"
"VSA-Apollo1","cpu.usagemhz.average","18177","MHz","26.11.25 17:30:00","2025-11-26","17:30"
"VSA-Apollo1","cpu.usagemhz.average","20665","MHz","26.11.25 17:00:00","2025-11-26","17:00"
"VSA-Apollo1","cpu.usagemhz.average","19792","MHz","26.11.25 16:30:00","2025-11-26","16:30"
"VSA-Apollo1","cpu.usagemhz.average","18755","MHz","26.11.25 16:00:00","2025-11-26","16:00"
"VSA-Apollo1","cpu.usagemhz.average","10648","MHz","26.11.25 15:30:00","2025-11-26","15:30"
"VSA-Apollo1","cpu.usagemhz.average","14576","MHz","26.11.25 15:00:00","2025-11-26","15:00"
"VSA-Apollo1","cpu.usagemhz.average","18363","MHz","26.11.25 14:30:00","2025-11-26","14:30"
"VSA-Apollo1","cpu.usagemhz.average","16305","MHz","26.11.25 14:00:00","2025-11-26","14:00"
"VSA-Apollo1","cpu.usagemhz.average","16595","MHz","26.11.25 13:30:00","2025-11-26","13:30"
"VSA-Apollo1","cpu.usagemhz.average","15074","MHz","26.11.25 13:00:00","2025-11-26","13:00"
"VSA-Apollo1","cpu.usagemhz.average","17784","MHz","26.11.25 12:30:00","2025-11-26","12:30"
"VSA-Apollo1","cpu.usagemhz.average","20048","MHz","26.11.25 12:00:00","2025-11-26","12:00"
"VSA-Apollo1","cpu.usagemhz.average","18311","MHz","26.11.25 11:30:00","2025-11-26","11:30"
"VSA-Apollo1","cpu.usagemhz.average","24375","MHz","26.11.25 11:00:00","2025-11-26","11:00"
"VSA-Apollo1","cpu.usagemhz.average","27512","MHz","26.11.25 10:30:00","2025-11-26","10:30"
"VSA-Apollo1","cpu.usagemhz.average","20124","MHz","26.11.25 10:00:00","2025-11-26","10:00"
"VSA-Apollo1","cpu.usagemhz.average","26820","MHz","26.11.25 09:30:00","2025-11-26","09:30"
"VSA-Apollo1","cpu.usagemhz.average","790","MHz","26.11.25 09:00:00","2025-11-26","09:00"
"VSA-Apollo1","cpu.usagemhz.average","738","MHz","26.11.25 08:30:00","2025-11-26","08:30"
"VSA-Apollo1","cpu.usagemhz.average","799","MHz","26.11.25 08:00:00","2025-11-26","08:00"
"VSA-Apollo1","cpu.usagemhz.average","787","MHz","26.11.25 07:30:00","2025-11-26","07:30"
"VSA-Apollo1","cpu.usagemhz.average","782","MHz","26.11.25 07:00:00","2025-11-26","07:00"
"VSA-Apollo1","cpu.usagemhz.average","723","MHz","26.11.25 06:30:00","2025-11-26","06:30"
"VSA-Apollo1","cpu.usagemhz.average","768","MHz","26.11.25 06:00:00","2025-11-26","06:00"
"VSA-Apollo1","cpu.usagemhz.average","757","MHz","26.11.25 05:30:00","2025-11-26","05:30"
"VSA-Apollo1","cpu.usagemhz.average","775","MHz","26.11.25 05:00:00","2025-11-26","05:00"
"VSA-Apollo1","cpu.usagemhz.average","6777","MHz","26.11.25 04:30:00","2025-11-26","04:30"
"VSA-Apollo1","cpu.usagemhz.average","14888","MHz","26.11.25 04:00:00","2025-11-26","04:00"
"VSA-Apollo1","cpu.usagemhz.average","11970","MHz","26.11.25 03:30:00","2025-11-26","03:30"
"VSA-Apollo1","cpu.usagemhz.average","8793","MHz","26.11.25 03:00:00","2025-11-26","03:00"
"VSA-Apollo1","cpu.usagemhz.average","1066","MHz","26.11.25 02:30:00","2025-11-26","02:30"
"VSA-Apollo1","cpu.usagemhz.average","1044","MHz","26.11.25 02:00:00","2025-11-26","02:00"
"VSA-Apollo1","cpu.usagemhz.average","1199","MHz","26.11.25 01:30:00","2025-11-26","01:30"
"VSA-Apollo1","cpu.usagemhz.average","1120","MHz","26.11.25 01:00:00","2025-11-26","01:00"
"VSA-Apollo1","cpu.usagemhz.average","972","MHz","26.11.25 00:30:00","2025-11-26","00:30"
"VSA-Apollo1","cpu.usagemhz.average","9305","MHz","26.11.25 00:00:00","2025-11-26","00:00"
"VSA-Apollo1","cpu.ready.summation","4123","millisecond","26.11.25 23:30:00","2025-11-26","23:30"
"VSA-Apollo1","cpu.ready.summation","6372","millisecond","26.11.25 23:00:00","2025-11-26","23:00"
"VSA-Apollo1","cpu.ready.summation","2670","millisecond","26.11.25 22:30:00","2025-11-26","22:30"
"VSA-Apollo1","cpu.ready.summation","3604","millisecond","26.11.25 22:00:00","2025-11-26","22:00"
"VSA-Apollo1","cpu.ready.summation","1350","millisecond","26.11.25 21:30:00","2025-11-26","21:30"
"VSA-Apollo1","cpu.ready.summation","1553","millisecond","26.11.25 21:00:00","2025-11-26","21:00"
"VSA-Apollo1","cpu.ready.summation","3016","millisecond","26.11.25 20:30:00","2025-11-26","20:30"
"VSA-Apollo1","cpu.ready.summation","5826","millisecond","26.11.25 20:00:00","2025-11-26","20:00"
"VSA-Apollo1","cpu.ready.summation","6115","millisecond","26.11.25 19:30:00","2025-11-26","19:30"
"VSA-Apollo1","cpu.ready.summation","4487","millisecond","26.11.25 19:00:00","2025-11-26","19:00"
"VSA-Apollo1","cpu.ready.summation","5414","millisecond","26.11.25 18:30:00","2025-11-26","18:30"
"VSA-Apollo1","cpu.ready.summation","7068","millisecond","26.11.25 18:00:00","2025-11-26","18:00"
"VSA-Apollo1","cpu.ready.summation","7047","millisecond","26.11.25 17:30:00","2025-11-26","17:30"
"VSA-Apollo1","cpu.ready.summation","7715","millisecond","26.11.25 17:00:00","2025-11-26","17:00"
"VSA-Apollo1","cpu.ready.summation","7649","millisecond","26.11.25 16:30:00","2025-11-26","16:30"
"VSA-Apollo1","cpu.ready.summation","7745","millisecond","26.11.25 16:00:00","2025-11-26","16:00"
"VSA-Apollo1","cpu.ready.summation","5409","millisecond","26.11.25 15:30:00","2025-11-26","15:30"
"VSA-Apollo1","cpu.ready.summation","6962","millisecond","26.11.25 15:00:00","2025-11-26","15:00"
"VSA-Apollo1","cpu.ready.summation","7953","millisecond","26.11.25 14:30:00","2025-11-26","14:30"
"VSA-Apollo1","cpu.ready.summation","7707","millisecond","26.11.25 14:00:00","2025-11-26","14:00"
"VSA-Apollo1","cpu.ready.summation","8294","millisecond","26.11.25 13:30:00","2025-11-26","13:30"
"VSA-Apollo1","cpu.ready.summation","7742","millisecond","26.11.25 13:00:00","2025-11-26","13:00"
"VSA-Apollo1","cpu.ready.summation","8905","millisecond","26.11.25 12:30:00","2025-11-26","12:30"
"VSA-Apollo1","cpu.ready.summation","10053","millisecond","26.11.25 12:00:00","2025-11-26","12:00"
"VSA-Apollo1","cpu.ready.summation","9057","millisecond","26.11.25 11:30:00","2025-11-26","11:30"
"VSA-Apollo1","cpu.ready.summation","10351","millisecond","26.11.25 11:00:00","2025-11-26","11:00"
"VSA-Apollo1","cpu.ready.summation","9840","millisecond","26.11.25 10:30:00","2025-11-26","10:30"
"VSA-Apollo1","cpu.ready.summation","8698","millisecond","26.11.25 10:00:00","2025-11-26","10:00"
"VSA-Apollo1","cpu.ready.summation","8298","millisecond","26.11.25 09:30:00","2025-11-26","09:30"
"VSA-Apollo1","cpu.ready.summation","1482","millisecond","26.11.25 09:00:00","2025-11-26","09:00"
"VSA-Apollo1","cpu.ready.summation","1506","millisecond","26.11.25 08:30:00","2025-11-26","08:30"
"VSA-Apollo1","cpu.ready.summation","1485","millisecond","26.11.25 08:00:00","2025-11-26","08:00"
"VSA-Apollo1","cpu.ready.summation","1311","millisecond","26.11.25 07:30:00","2025-11-26","07:30"
"VSA-Apollo1","cpu.ready.summation","1381","millisecond","26.11.25 07:00:00","2025-11-26","07:00"
"VSA-Apollo1","cpu.ready.summation","1223","millisecond","26.11.25 06:30:00","2025-11-26","06:30"
"VSA-Apollo1","cpu.ready.summation","1316","millisecond","26.11.25 06:00:00","2025-11-26","06:00"
"VSA-Apollo1","cpu.ready.summation","1285","millisecond","26.11.25 05:30:00","2025-11-26","05:30"
"VSA-Apollo1","cpu.ready.summation","1386","millisecond","26.11.25 05:00:00","2025-11-26","05:00"
"VSA-Apollo1","cpu.ready.summation","2367","millisecond","26.11.25 04:30:00","2025-11-26","04:30"
"VSA-Apollo1","cpu.ready.summation","4448","millisecond","26.11.25 04:00:00","2025-11-26","04:00"
"VSA-Apollo1","cpu.ready.summation","5799","millisecond","26.11.25 03:30:00","2025-11-26","03:30"
"VSA-Apollo1","cpu.ready.summation","5232","millisecond","26.11.25 03:00:00","2025-11-26","03:00"
"VSA-Apollo1","cpu.ready.summation","1690","millisecond","26.11.25 02:30:00","2025-11-26","02:30"
"VSA-Apollo1","cpu.ready.summation","1811","millisecond","26.11.25 02:00:00","2025-11-26","02:00"
"VSA-Apollo1","cpu.ready.summation","2114","millisecond","26.11.25 01:30:00","2025-11-26","01:30"
"VSA-Apollo1","cpu.ready.summation","1824","millisecond","26.11.25 01:00:00","2025-11-26","01:00"
"VSA-Apollo1","cpu.ready.summation","1685","millisecond","26.11.25 00:30:00","2025-11-26","00:30"
"VSA-Apollo1","cpu.ready.summation","3910","millisecond","26.11.25 00:00:00","2025-11-26","00:00"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 23:30:00","2025-11-26","23:30"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 23:00:00","2025-11-26","23:00"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 22:30:00","2025-11-26","22:30"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 22:00:00","2025-11-26","22:00"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 21:30:00","2025-11-26","21:30"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 21:00:00","2025-11-26","21:00"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 20:30:00","2025-11-26","20:30"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 20:00:00","2025-11-26","20:00"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 19:30:00","2025-11-26","19:30"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 19:00:00","2025-11-26","19:00"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 18:30:00","2025-11-26","18:30"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 18:00:00","2025-11-26","18:00"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 17:30:00","2025-11-26","17:30"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 17:00:00","2025-11-26","17:00"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 16:30:00","2025-11-26","16:30"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 16:00:00","2025-11-26","16:00"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 15:30:00","2025-11-26","15:30"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 15:00:00","2025-11-26","15:00"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 14:30:00","2025-11-26","14:30"
"VSA-Apollo1","mem.consumed.average","367001600","KB","26.11.25 14:00:00","2025-11-26","14:00"
