"VM","Metric","Value","Unit","Timestamp","Date","Time"
"DataLake-STBY","cpu.usage.average","15.09","%","26.11.25 23:30:00","2025-11-26","23:30"
"DataLake-STBY","cpu.usage.average","24.82","%","26.11.25 23:00:00","2025-11-26","23:00"
"DataLake-STBY","cpu.usage.average","15.31","%","26.11.25 22:30:00","2025-11-26","22:30"
"DataLake-STBY","cpu.usage.average","24.35","%","26.11.25 22:00:00","2025-11-26","22:00"
"DataLake-STBY","cpu.usage.average","14.42","%","26.11.25 21:30:00","2025-11-26","21:30"
"DataLake-STBY","cpu.usage.average","24.41","%","26.11.25 21:00:00","2025-11-26","21:00"
"DataLake-STBY","cpu.usage.average","14.53","%","26.11.25 20:30:00","2025-11-26","20:30"
"DataLake-STBY","cpu.usage.average","24.35","%","26.11.25 20:00:00","2025-11-26","20:00"
"DataLake-STBY","cpu.usage.average","14.59","%","26.11.25 19:30:00","2025-11-26","19:30"
"DataLake-STBY","cpu.usage.average","24.43","%","26.11.25 19:00:00","2025-11-26","19:00"
"DataLake-STBY","cpu.usage.average","15.87","%","26.11.25 18:30:00","2025-11-26","18:30"
"DataLake-STBY","cpu.usage.average","25.17","%","26.11.25 18:00:00","2025-11-26","18:00"
"DataLake-STBY","cpu.usage.average","15.8","%","26.11.25 17:30:00","2025-11-26","17:30"
"DataLake-STBY","cpu.usage.average","24.94","%","26.11.25 17:00:00","2025-11-26","17:00"
"DataLake-STBY","cpu.usage.average","16.81","%","26.11.25 16:30:00","2025-11-26","16:30"
"DataLake-STBY","cpu.usage.average","26.83","%","26.11.25 16:00:00","2025-11-26","16:00"
"DataLake-STBY","cpu.usage.average","19.05","%","26.11.25 15:30:00","2025-11-26","15:30"
"DataLake-STBY","cpu.usage.average","30.62","%","26.11.25 15:00:00","2025-11-26","15:00"
"DataLake-STBY","cpu.usage.average","19.31","%","26.11.25 14:30:00","2025-11-26","14:30"
"DataLake-STBY","cpu.usage.average","25.18","%","26.11.25 14:00:00","2025-11-26","14:00"
"DataLake-STBY","cpu.usage.average","16.04","%","26.11.25 13:30:00","2025-11-26","13:30"
"DataLake-STBY","cpu.usage.average","25.98","%","26.11.25 13:00:00","2025-11-26","13:00"
"DataLake-STBY","cpu.usage.average","15.72","%","26.11.25 12:30:00","2025-11-26","12:30"
"DataLake-STBY","cpu.usage.average","24.49","%","26.11.25 12:00:00","2025-11-26","12:00"
"DataLake-STBY","cpu.usage.average","14.25","%","26.11.25 11:30:00","2025-11-26","11:30"
"DataLake-STBY","cpu.usage.average","23.39","%","26.11.25 11:00:00","2025-11-26","11:00"
"DataLake-STBY","cpu.usage.average","14.23","%","26.11.25 10:30:00","2025-11-26","10:30"
"DataLake-STBY","cpu.usage.average","24.76","%","26.11.25 10:00:00","2025-11-26","10:00"
"DataLake-STBY","cpu.usage.average","17.76","%","26.11.25 09:30:00","2025-11-26","09:30"
"DataLake-STBY","cpu.usage.average","22.85","%","26.11.25 09:00:00","2025-11-26","09:00"
"DataLake-STBY","cpu.usage.average","13.9","%","26.11.25 08:30:00","2025-11-26","08:30"
"DataLake-STBY","cpu.usage.average","19.87","%","26.11.25 08:00:00","2025-11-26","08:00"
"DataLake-STBY","cpu.usage.average","13.99","%","26.11.25 07:30:00","2025-11-26","07:30"
"DataLake-STBY","cpu.usage.average","19.82","%","26.11.25 07:00:00","2025-11-26","07:00"
"DataLake-STBY","cpu.usage.average","13.96","%","26.11.25 06:30:00","2025-11-26","06:30"
"DataLake-STBY","cpu.usage.average","19.75","%","26.11.25 06:00:00","2025-11-26","06:00"
"DataLake-STBY","cpu.usage.average","13.97","%","26.11.25 05:30:00","2025-11-26","05:30"
"DataLake-STBY","cpu.usage.average","19.77","%","26.11.25 05:00:00","2025-11-26","05:00"
"DataLake-STBY","cpu.usage.average","14.04","%","26.11.25 04:30:00","2025-11-26","04:30"
"DataLake-STBY","cpu.usage.average","19.68","%","26.11.25 04:00:00","2025-11-26","04:00"
"DataLake-STBY","cpu.usage.average","14.09","%","26.11.25 03:30:00","2025-11-26","03:30"
"DataLake-STBY","cpu.usage.average","19.81","%","26.11.25 03:00:00","2025-11-26","03:00"
"DataLake-STBY","cpu.usage.average","14.05","%","26.11.25 02:30:00","2025-11-26","02:30"
"DataLake-STBY","cpu.usage.average","19.85","%","26.11.25 02:00:00","2025-11-26","02:00"
"DataLake-STBY","cpu.usage.average","14.08","%","26.11.25 01:30:00","2025-11-26","01:30"
"DataLake-STBY","cpu.usage.average","20.18","%","26.11.25 01:00:00","2025-11-26","01:00"
"DataLake-STBY","cpu.usage.average","14.15","%","26.11.25 00:30:00","2025-11-26","00:30"
"DataLake-STBY","cpu.usage.average","21.12","%","26.11.25 00:00:00","2025-11-26","00:00"
"DataLake-STBY","cpu.usagemhz.average","9642","MHz","26.11.25 23:30:00","2025-11-26","23:30"
"DataLake-STBY","cpu.usagemhz.average","15849","MHz","26.11.25 23:00:00","2025-11-26","23:00"
"DataLake-STBY","cpu.usagemhz.average","9783","MHz","26.11.25 22:30:00","2025-11-26","22:30"
"DataLake-STBY","cpu.usagemhz.average","15550","MHz","26.11.25 22:00:00","2025-11-26","22:00"
"DataLake-STBY","cpu.usagemhz.average","9213","MHz","26.11.25 21:30:00","2025-11-26","21:30"
"DataLake-STBY","cpu.usagemhz.average","15588","MHz","26.11.25 21:00:00","2025-11-26","21:00"
"DataLake-STBY","cpu.usagemhz.average","9286","MHz","26.11.25 20:30:00","2025-11-26","20:30"
"DataLake-STBY","cpu.usagemhz.average","15553","MHz","26.11.25 20:00:00","2025-11-26","20:00"
"DataLake-STBY","cpu.usagemhz.average","9322","MHz","26.11.25 19:30:00","2025-11-26","19:30"
"DataLake-STBY","cpu.usagemhz.average","15603","MHz","26.11.25 19:00:00","2025-11-26","19:00"
"DataLake-STBY","cpu.usagemhz.average","10137","MHz","26.11.25 18:30:00","2025-11-26","18:30"
"DataLake-STBY","cpu.usagemhz.average","16074","MHz","26.11.25 18:00:00","2025-11-26","18:00"
"DataLake-STBY","cpu.usagemhz.average","10091","MHz","26.11.25 17:30:00","2025-11-26","17:30"
"DataLake-STBY","cpu.usagemhz.average","15927","MHz","26.11.25 17:00:00","2025-11-26","17:00"
"DataLake-STBY","cpu.usagemhz.average","10740","MHz","26.11.25 16:30:00","2025-11-26","16:30"
"DataLake-STBY","cpu.usagemhz.average","17133","MHz","26.11.25 16:00:00","2025-11-26","16:00"
"DataLake-STBY","cpu.usagemhz.average","12169","MHz","26.11.25 15:30:00","2025-11-26","15:30"
"DataLake-STBY","cpu.usagemhz.average","19553","MHz","26.11.25 15:00:00","2025-11-26","15:00"
"DataLake-STBY","cpu.usagemhz.average","12332","MHz","26.11.25 14:30:00","2025-11-26","14:30"
"DataLake-STBY","cpu.usagemhz.average","16082","MHz","26.11.25 14:00:00","2025-11-26","14:00"
"DataLake-STBY","cpu.usagemhz.average","10247","MHz","26.11.25 13:30:00","2025-11-26","13:30"
"DataLake-STBY","cpu.usagemhz.average","16590","MHz","26.11.25 13:00:00","2025-11-26","13:00"
"DataLake-STBY","cpu.usagemhz.average","10041","MHz","26.11.25 12:30:00","2025-11-26","12:30"
"DataLake-STBY","cpu.usagemhz.average","15644","MHz","26.11.25 12:00:00","2025-11-26","12:00"
"DataLake-STBY","cpu.usagemhz.average","9103","MHz","26.11.25 11:30:00","2025-11-26","11:30"
"DataLake-STBY","cpu.usagemhz.average","14937","MHz","26.11.25 11:00:00","2025-11-26","11:00"
"DataLake-STBY","cpu.usagemhz.average","9094","MHz","26.11.25 10:30:00","2025-11-26","10:30"
"DataLake-STBY","cpu.usagemhz.average","15812","MHz","26.11.25 10:00:00","2025-11-26","10:00"
"DataLake-STBY","cpu.usagemhz.average","11346","MHz","26.11.25 09:30:00","2025-11-26","09:30"
"DataLake-STBY","cpu.usagemhz.average","14594","MHz","26.11.25 09:00:00","2025-11-26","09:00"
"DataLake-STBY","cpu.usagemhz.average","8880","MHz","26.11.25 08:30:00","2025-11-26","08:30"
"DataLake-STBY","cpu.usagemhz.average","12692","MHz","26.11.25 08:00:00","2025-11-26","08:00"
"DataLake-STBY","cpu.usagemhz.average","8937","MHz","26.11.25 07:30:00","2025-11-26","07:30"
"DataLake-STBY","cpu.usagemhz.average","12656","MHz","26.11.25 07:00:00","2025-11-26","07:00"
"DataLake-STBY","cpu.usagemhz.average","8919","MHz","26.11.25 06:30:00","2025-11-26","06:30"
"DataLake-STBY","cpu.usagemhz.average","12613","MHz","26.11.25 06:00:00","2025-11-26","06:00"
"DataLake-STBY","cpu.usagemhz.average","8921","MHz","26.11.25 05:30:00","2025-11-26","05:30"
"DataLake-STBY","cpu.usagemhz.average","12631","MHz","26.11.25 05:00:00","2025-11-26","05:00"
"DataLake-STBY","cpu.usagemhz.average","8971","MHz","26.11.25 04:30:00","2025-11-26","04:30"
"DataLake-STBY","cpu.usagemhz.average","12569","MHz","26.11.25 04:00:00","2025-11-26","04:00"
"DataLake-STBY","cpu.usagemhz.average","9002","MHz","26.11.25 03:30:00","2025-11-26","03:30"
"DataLake-STBY","cpu.usagemhz.average","12652","MHz","26.11.25 03:00:00","2025-11-26","03:00"
"DataLake-STBY","cpu.usagemhz.average","8975","MHz","26.11.25 02:30:00","2025-11-26","02:30"
"DataLake-STBY","cpu.usagemhz.average","12681","MHz","26.11.25 02:00:00","2025-11-26","02:00"
"DataLake-STBY","cpu.usagemhz.average","8995","MHz","26.11.25 01:30:00","2025-11-26","01:30"
"DataLake-STBY","cpu.usagemhz.average","12886","MHz","26.11.25 01:00:00","2025-11-26","01:00"
"DataLake-STBY","cpu.usagemhz.average","9039","MHz","26.11.25 00:30:00","2025-11-26","00:30"
"DataLake-STBY","cpu.usagemhz.average","13491","MHz","26.11.25 00:00:00","2025-11-26","00:00"
"DataLake-STBY","cpu.ready.summation","171644","millisecond","26.11.25 23:30:00","2025-11-26","23:30"
"DataLake-STBY","cpu.ready.summation","208095","millisecond","26.11.25 23:00:00","2025-11-26","23:00"
"DataLake-STBY","cpu.ready.summation","177768","millisecond","26.11.25 22:30:00","2025-11-26","22:30"
"DataLake-STBY","cpu.ready.summation","209922","millisecond","26.11.25 22:00:00","2025-11-26","22:00"
