ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,night_hours,night_hours_lower,night_hours_upper,weekly,weekly_lower,weekly_upper,work_hours,work_hours_lower,work_hours_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-11-29 22:30:00,1.53,4.65,4.95,1.18,1.98,2.37,1.38,3.46,2.26,1.43,3.06,0.0,0.0,0.0,-0.1,-0.85,0.72,0.0,0.0,0.0,0.0,0.0,0.0,4.98
2025-11-29 23:00:00,1.53,4.6,4.91,1.19,1.99,2.35,1.38,3.43,2.22,1.39,3.0,0.0,0.0,0.0,-0.12,-0.87,0.7,0.0,0.0,0.0,0.0,0.0,0.0,4.94
2025-11-29 23:30:00,1.54,4.55,4.91,1.19,2.0,2.34,1.36,3.45,2.19,1.37,2.98,0.0,0.0,0.0,-0.14,-0.89,0.68,0.0,0.0,0.0,0.0,0.0,0.0,4.91
2025-11-30 00:00:00,1.54,4.61,4.99,1.19,2.0,2.38,1.38,3.57,2.23,1.4,3.02,0.01,-0.09,0.13,-0.17,-0.92,0.66,0.0,0.0,0.0,0.0,0.0,0.0,4.98
2025-11-30 00:30:00,1.55,4.6,5.0,1.19,2.01,2.49,1.46,3.86,2.21,1.38,3.0,-0.09,-0.32,0.13,-0.19,-0.94,0.65,0.0,0.0,0.0,0.0,0.0,0.0,4.98
2025-11-30 01:00:00,1.55,4.53,4.95,1.2,2.02,2.69,1.61,4.29,2.17,1.35,2.93,-0.32,-0.8,0.06,-0.21,-0.97,0.62,0.0,0.0,0.0,0.0,0.0,0.0,4.93
2025-11-30 01:30:00,1.56,4.45,4.91,1.2,2.03,2.97,1.77,4.85,2.12,1.33,2.87,-0.63,-1.39,-0.05,-0.22,-0.98,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.87
2025-11-30 02:00:00,1.57,4.41,4.9,1.21,2.04,3.29,1.92,5.4,2.09,1.31,2.82,-0.96,-1.96,-0.19,-0.24,-1.01,0.59,0.0,0.0,0.0,0.0,0.0,0.0,4.84
2025-11-30 02:30:00,1.57,4.4,4.91,1.21,2.06,3.58,2.06,5.88,2.07,1.3,2.8,-1.25,-2.43,-0.35,-0.26,-1.03,0.57,0.0,0.0,0.0,0.0,0.0,0.0,4.83
2025-11-30 03:00:00,1.58,4.39,4.95,1.21,2.07,3.79,2.15,6.18,2.07,1.3,2.81,-1.44,-2.68,-0.45,-0.28,-1.06,0.56,0.0,0.0,0.0,0.0,0.0,0.0,4.84
2025-11-30 03:30:00,1.58,4.37,4.98,1.21,2.08,3.86,2.18,6.21,2.06,1.29,2.81,-1.5,-2.73,-0.49,-0.3,-1.07,0.53,0.0,0.0,0.0,0.0,0.0,0.0,4.85
2025-11-30 04:00:00,1.59,4.33,4.98,1.22,2.09,3.76,2.12,5.95,2.04,1.28,2.79,-1.4,-2.51,-0.46,-0.32,-1.1,0.51,0.0,0.0,0.0,0.0,0.0,0.0,4.83
2025-11-30 04:30:00,1.59,4.27,4.96,1.22,2.1,3.51,2.02,5.45,2.0,1.25,2.73,-1.18,-2.08,-0.35,-0.33,-1.13,0.47,0.0,0.0,0.0,0.0,0.0,0.0,4.79
2025-11-30 05:00:00,1.6,4.21,4.94,1.22,2.11,3.17,1.83,4.83,1.96,1.23,2.71,-0.85,-1.53,-0.22,-0.35,-1.16,0.44,0.0,0.0,0.0,0.0,0.0,0.0,4.74
2025-11-30 05:30:00,1.61,4.16,4.96,1.22,2.12,2.8,1.62,4.2,1.94,1.21,2.68,-0.5,-0.94,-0.07,-0.36,-1.18,0.43,0.0,0.0,0.0,0.0,0.0,0.0,4.72
