ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,night_hours,night_hours_lower,night_hours_upper,weekly,weekly_lower,weekly_upper,work_hours,work_hours_lower,work_hours_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-11-25 17:00:00,1.99,4.82,5.11,1.01,3.15,-0.19,-0.77,0.23,1.95,0.59,3.86,0.0,0.0,0.0,-0.63,-1.29,0.64,2.76,1.58,3.97,0.0,0.0,0.0,5.87
2025-11-25 17:30:00,1.98,4.79,5.08,1.0,3.13,1.01,0.7,1.4,1.95,0.58,3.86,0.0,0.0,0.0,-0.62,-1.29,0.68,1.56,0.85,2.33,0.0,0.0,0.0,5.84
2025-11-25 18:00:00,1.97,4.72,5.01,0.99,3.1,1.8,1.27,2.4,1.94,0.56,3.87,0.0,0.0,0.0,-0.61,-1.29,0.69,0.75,0.37,1.19,0.0,0.0,0.0,5.78
2025-11-25 18:30:00,1.95,4.6,4.9,0.98,3.08,2.25,1.51,3.0,1.9,0.54,3.84,0.0,0.0,0.0,-0.61,-1.29,0.71,0.25,0.1,0.42,0.0,0.0,0.0,5.66
2025-11-25 19:00:00,1.94,4.48,4.77,0.97,3.06,2.44,1.59,3.28,1.84,0.51,3.8,0.0,0.0,0.0,-0.6,-1.29,0.76,0.0,0.0,0.0,0.0,0.0,0.0,5.52
2025-11-25 19:30:00,1.93,4.55,4.82,0.96,3.04,2.49,1.61,3.35,1.9,0.52,3.91,0.0,0.0,0.0,-0.59,-1.29,0.79,0.0,0.0,0.0,0.0,0.0,0.0,5.59
2025-11-25 20:00:00,1.91,4.51,4.79,0.95,3.02,2.49,1.61,3.35,1.9,0.52,3.92,0.0,0.0,0.0,-0.58,-1.29,0.81,0.0,0.0,0.0,0.0,0.0,0.0,5.55
2025-11-25 20:30:00,1.9,4.47,4.75,0.95,3.0,2.47,1.6,3.33,1.9,0.54,3.91,0.0,0.0,0.0,-0.57,-1.29,0.85,0.0,0.0,0.0,0.0,0.0,0.0,5.51
2025-11-25 21:00:00,1.89,4.47,4.74,0.94,2.98,2.48,1.61,3.34,1.91,0.56,3.93,0.0,0.0,0.0,-0.57,-1.28,0.9,0.0,0.0,0.0,0.0,0.0,0.0,5.5
2025-11-25 21:30:00,1.88,4.47,4.75,0.94,2.97,2.49,1.61,3.36,1.93,0.56,3.97,0.0,0.0,0.0,-0.56,-1.28,0.92,0.0,0.0,0.0,0.0,0.0,0.0,5.51
